Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Sat, Mar 9, 2024",4:00p,Chicago Bulls,102,Los Angeles Clippers,112,Box Score,,"19,370",2:11,Crypto.com Arena,
"Sat, Mar 9, 2024",7:00p,Brooklyn Nets,99,Charlotte Hornets,110,Box Score,,"19,090",2:08,Spectrum Center,
"Sat, Mar 9, 2024",7:00p,Dallas Mavericks,142,Detroit Pistons,124,Box Score,,"20,062",2:17,Little Caesars Arena,
"Sat, Mar 9, 2024",8:30p,San Antonio Spurs,126,Golden State Warriors,113,Box Score,,"18,064",2:24,Chase Center,
"Sat, Mar 9, 2024",8:30p,Boston Celtics,117,Phoenix Suns,107,Box Score,,"17,071",2:12,Footprint Center,
"Sat, Mar 9, 2024",9:00p,Utah Jazz,121,Denver Nuggets,142,Box Score,,"19,632",2:12,Ball Arena,
"Sat, Mar 9, 2024",10:00p,Toronto Raptors,118,Portland Trail Blazers,128,Box Score,OT,"18,117",2:24,Moda Center,
"Sun, Mar 10, 2024",3:00p,Milwaukee Bucks,124,Los Angeles Clippers,117,Box Score,,"19,370",2:19,Crypto.com Arena,
"Sun, Mar 10, 2024",6:00p,New Orleans Pelicans,116,Atlanta Hawks,103,Box Score,,"17,695",2:02,State Farm Arena,
"Sun, Mar 10, 2024",6:00p,Washington Wizards,110,Miami Heat,108,Box Score,,"19,730",2:13,Kaseya Center,
"Sun, Mar 10, 2024",6:00p,Indiana Pacers,111,Orlando Magic,97,Box Score,,"19,481",2:19,Kia Center,
"Sun, Mar 10, 2024",6:00p,Houston Rockets,112,Sacramento Kings,104,Box Score,,"18,022",2:18,Golden 1 Center,
"Sun, Mar 10, 2024",7:00p,Brooklyn Nets,120,Cleveland Cavaliers,101,Box Score,,"19,432",2:05,Rocket Mortgage Fieldhouse,
"Sun, Mar 10, 2024",7:00p,Philadelphia 76ers,79,New York Knicks,73,Box Score,,"19,812",2:18,Madison Square Garden (IV),
"Sun, Mar 10, 2024",7:00p,Memphis Grizzlies,93,Oklahoma City Thunder,124,Box Score,,"18,203",2:01,Paycom Center,
"Sun, Mar 10, 2024",9:30p,Minnesota Timberwolves,109,Los Angeles Lakers,120,Box Score,,"18,997",2:15,Crypto.com Arena,
"Mon, Mar 11, 2024",7:00p,Charlotte Hornets,97,Detroit Pistons,114,Box Score,,"18,003",2:07,Little Caesars Arena,
"Mon, Mar 11, 2024",7:30p,Phoenix Suns,117,Cleveland Cavaliers,111,Box Score,,"19,432",2:10,Rocket Mortgage Fieldhouse,
"Mon, Mar 11, 2024",8:00p,Dallas Mavericks,127,Chicago Bulls,92,Box Score,,"21,363",1:58,United Center,
"Mon, Mar 11, 2024",8:00p,Golden State Warriors,112,San Antonio Spurs,102,Box Score,,"18,354",2:05,Frost Bank Center,
"Mon, Mar 11, 2024",9:00p,Toronto Raptors,119,Denver Nuggets,125,Box Score,,"19,652",2:06,Ball Arena,
"Mon, Mar 11, 2024",10:30p,Boston Celtics,121,Portland Trail Blazers,99,Box Score,,"18,480",1:53,Moda Center,
"Tue, Mar 12, 2024",7:30p,Philadelphia 76ers,79,New York Knicks,106,Box Score,,"19,812",2:11,Madison Square Garden (IV),
"Tue, Mar 12, 2024",8:00p,Washington Wizards,97,Memphis Grizzlies,109,Box Score,,"15,291",2:04,FedEx Forum,
"Tue, Mar 12, 2024",8:00p,Indiana Pacers,121,Oklahoma City Thunder,111,Box Score,,"17,118",2:04,Paycom Center,
"Tue, Mar 12, 2024",8:30p,Houston Rockets,103,San Antonio Spurs,101,Box Score,,"18,751",2:14,Frost Bank Center,
"Tue, Mar 12, 2024",9:00p,Boston Celtics,123,Utah Jazz,107,Box Score,,"18,206",2:00,Delta Center,
"Tue, Mar 12, 2024",10:00p,Minnesota Timberwolves,118,Los Angeles Clippers,100,Box Score,,"19,370",2:17,Crypto.com Arena,
"Tue, Mar 12, 2024",10:00p,Milwaukee Bucks,94,Sacramento Kings,129,Box Score,,"17,832",2:17,Golden 1 Center,
"Wed, Mar 13, 2024",7:00p,Toronto Raptors,104,Detroit Pistons,113,Box Score,,"19,313",2:18,Little Caesars Arena,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Wed, Mar 13, 2024",7:00p,Brooklyn Nets,106,Orlando Magic,114,Box Score,,"18,846",2:19,Kia Center,
"Wed, Mar 13, 2024",7:30p,Chicago Bulls,132,Indiana Pacers,129,Box Score,OT,"17,274",2:44,Gainbridge Fieldhouse,
"Wed, Mar 13, 2024",7:30p,Denver Nuggets,100,Miami Heat,88,Box Score,,"19,921",2:05,Kaseya Center,
"Wed, Mar 13, 2024",8:00p,Charlotte Hornets,110,Memphis Grizzlies,98,Box Score,,"16,717",2:05,FedEx Forum,
"Wed, Mar 13, 2024",8:00p,Cleveland Cavaliers,116,New Orleans Pelicans,95,Box Score,,"17,727",1:57,Smoothie King Center,
"Wed, Mar 13, 2024",8:30p,Golden State Warriors,99,Dallas Mavericks,109,Box Score,,"20,411",2:13,American Airlines Center,
"Wed, Mar 13, 2024",10:00p,Atlanta Hawks,102,Portland Trail Blazers,106,Box Score,,"18,064",2:11,Moda Center,
"Wed, Mar 13, 2024",10:00p,Los Angeles Lakers,107,Sacramento Kings,120,Box Score,,"18,332",2:14,Golden 1 Center,
"Thu, Mar 14, 2024",7:30p,Phoenix Suns,112,Boston Celtics,127,Box Score,,"19,156",2:02,TD Garden,
