Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Wed, Jan 17, 2024",7:30p,Orlando Magic,104,Atlanta Hawks,106,Box Score,,"14,541",2:14,State Farm Arena,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Wed, Jan 17, 2024",7:30p,San Antonio Spurs,98,Boston Celtics,117,Box Score,,"19,156",2:00,TD Garden,
"Wed, Jan 17, 2024",7:30p,Milwaukee Bucks,95,Cleveland Cavaliers,135,Box Score,,"19,432",2:02,Rocket Mortgage Fieldhouse,
"Wed, Jan 17, 2024",7:30p,Houston Rockets,94,New York Knicks,109,Box Score,,"19,439",2:15,Madison Square Garden (IV),
"Wed, Jan 17, 2024",7:30p,Miami Heat,97,Toronto Raptors,121,Box Score,,"19,631",2:01,Scotiabank Arena,
"Wed, Jan 17, 2024",8:00p,Charlotte Hornets,112,New Orleans Pelicans,132,Box Score,,"16,093",2:04,Smoothie King Center,
"Wed, Jan 17, 2024",8:30p,Dallas Mavericks,110,Los Angeles Lakers,127,Box Score,,"18,338",2:17,Crypto.com Arena,
"Wed, Jan 17, 2024",10:00p,Brooklyn Nets,103,Portland Trail Blazers,105,Box Score,,"17,021",2:13,Moda Center,
"Thu, Jan 18, 2024",7:30p,Washington Wizards,109,New York Knicks,113,Box Score,,"19,466",2:24,Madison Square Garden (IV),
"Thu, Jan 18, 2024",7:30p,Chicago Bulls,116,Toronto Raptors,110,Box Score,,"19,312",2:13,Scotiabank Arena,
"Thu, Jan 18, 2024",9:00p,Oklahoma City Thunder,134,Utah Jazz,129,Box Score,,"18,206",2:24,Delta Center,
"Thu, Jan 18, 2024",10:00p,Memphis Grizzlies,103,Minnesota Timberwolves,118,Box Score,,"18,024",2:15,Target Center,
"Thu, Jan 18, 2024",10:00p,Indiana Pacers,126,Sacramento Kings,121,Box Score,,"17,832",2:24,Golden 1 Center,
"Fri, Jan 19, 2024",7:00p,San Antonio Spurs,120,Charlotte Hornets,124,Box Score,,"19,093",2:10,Spectrum Center,
"Fri, Jan 19, 2024",7:00p,Philadelphia 76ers,124,Orlando Magic,109,Box Score,,"19,063",2:16,Kia Center,
"Fri, Jan 19, 2024",7:30p,Denver Nuggets,102,Boston Celtics,100,Box Score,,"19,156",2:12,TD Garden,
"Fri, Jan 19, 2024",8:00p,Atlanta Hawks,109,Miami Heat,108,Box Score,,"20,040",2:34,Kaseya Center,
"Fri, Jan 19, 2024",8:00p,Phoenix Suns,123,New Orleans Pelicans,109,Box Score,,"18,686",2:07,Smoothie King Center,
"Fri, Jan 19, 2024",10:00p,Indiana Pacers,115,Portland Trail Blazers,118,Box Score,,"18,595",2:26,Moda Center,
"Fri, Jan 19, 2024",10:30p,Brooklyn Nets,130,Los Angeles Lakers,112,Box Score,,"18,997",2:11,Crypto.com Arena,
